Fichier;Titre;2e titre;Titre original;Compositeur;Auteur;Tonalité;Format;Copyright;Référence;Thème;Air du;Vol.
JEM001;J'aime l'Eternel;Il a délivré mon âme de la mort;I love the Lord;Katrina Evers;Katrina Evers;Sol;1 voix;© Spotlight Music. All rights reserved. International © Secured. Used by;Psaume 116.1,2,8,5;Dieu;;1
JEM002;Quand je vois le ciel;Qu'est donc l'homme, ô Éternel ?;Naar jeg ser;Inconnu;Inconnu;Do;1 voix;© 1974 Adaptation française Christian Glardon;Psaume 8.4,5;Adoration;;1
JEM003;L'Eternel est mon berger;Je ne manquerai de rien;;Philippe Aubert;Philippe Aubert;Do;Canon à 4 voix;© Ligue pour la Lecture de la Bible;Psaume 23.1,4;Dieu;;1
JEM004;Éternel ! Fais-moi connaître tes voies;Car Tu es le Dieu de mon salut;;Pierre van Woerden;Pierre van Woerden;Do;1 voix;© 1976 Gerth Medien Musikverlag;Psaume 25.4,5;Repentance;ATG008;1
JEM005;Je t'instruirai et je te montrerai;;;Alfred Kuen;Alfred Kuen;Ré;1 voix;© 1971 Editions Joie de vivre;Psaume 32.8;Exhortation;;1
JEM006;Quand on tourne vers lui les regards;On est rayonnant de joie;;Michael Ingle;Michael Ingle;Ré;1 voix;© 1974 Jeunesse en Mission;Psaume 34.6;Exhortation;;1
JEM007;Fais de l'Eternel tes délices;Recommande ton sort à l'Éternel;;Pierre van Woerden;Pierre van Woerden;Sol;1 voix;© 1976 Gerth Medien Musikverlag;Psaume 37.4,5;Exhortation;;1
JEM008;Offre pour sacrifice à Dieu;Invoque-moi au jour de la détresse;;Daniel Schaerer;Daniel Schaerer;Ré;1 voix;© 1974 Daniel Schaerer;Psaume 50.14,15;Exhortation;;1
JEM009;O Dieu, crée en moi un cœur pur;;;Hermine Jacot;Hermine Jacot;Fa;1 voix;© 1974 Hermine Jacot;Psaume 51.12;Repentance;;1
JEM010;Rejette ton fardeau sur l'Eternel;;;Pierre van Woerden;Pierre van Woerden;Mi;1 voix;© 1976 Gerth Medien Musikverlag;Psaume 55.23;Exhortation;;1
JEM011;Car ta bonté vaut mieux que la vie;;Thy lovingkindness;Hugh Mitchell;Hugh Mitchell;Mi;1 voix;© 1962 Singspiration Inc./Harry Fox Music/Small Stone Media/LTC;Psaume 63.4,5;Louange;;1
JEM012;Béni soit l'Eternel Dieu;Que toute la terre soit remplie de sa gloire !;Blessed be the Lord;Shirley Powell;Shirley Powell;Mi;1 voix;© 1972 Scripture in Song/Maranatha Praise/Song Solutions CopyCare/LTC;Psaume 72.18,19;Dieu;;1
JEM013;Car tu es grand;Et tu opères des prodiges;For Thou art great;Inconnu;Inconnu;Sib;1 voix;© 1974 Adaptation française Heinz Suter;Psaume 86.10-12;Dieu;;1
JEM014;Poussez vers l'Eternel des cris de joie;;;Gayle Whipple;Gayle Whipple;Mi;1 voix;© 1974 Jeunesse en Mission;Psaume 100;Joie et célébration;;1
JEM015;Ouvre mes yeux;;;Thorens;Thorens;Mib;1 voix;© Ligue pour la Lecture de la Bible;Psaume 119.18;Prière;;1
JEM016;Quand l'Eternel ramena les captifs;L'Éternel a fait pour nous de grandes choses;When the Lord restored;John Harding;John Harding;Mi;1 voix;© 1973 Thankyou Music/Kingswaysongs.com/LTC;Psaume 126;Louange;;1
JEM017;Ah ! Qu'il est doux pour des frères;;Hiné Matov;Mélodie hébraïque;Christian Glardon;Lam;1 voix;© 1974 Adaptation française Christian Glardon;Psaume 133.1;Unité;ATG031;1
JEM018;Sonde-moi, ô Dieu;;;Pierre van Woerden;Pierre van Woerden;Mim;1 voix;© 1976 Gerth Medien Musikverlag;Psaume 139.23,24;Repentance;;1
JEM019;L'Eternel combattra pour vous;;;Pierre van Woerden;Pierre van Woerden;Sol;Canon à 4 voix;© 1976 Gerth Medien Musikverlag;Exode 14.14;Combat spirituel;;1
JEM020;Fortifiez-vous, ayez du courage;;;Linda McGowen;Linda McGowen;Ré;1 voix;© 1974 Linda Panci-McGowen;Deutéronome 31.6;Exhortation;;1
JEM021;Parle, Eternel;;;Pierre van Woerden;Pierre van Woerden;Ré;1 voix;© 1976 Gerth Medien Musikverlag;1 Samuel 3.9;Prière;;1
JEM022;L'Eternel est mon rocher;;;Linda McGowen;Linda McGowen;Do;1 voix;© 1974 Linda Panci-McGowen;2 Samuel 22.2,3;Louange;;1
JEM023;Si mon peuple s'humilie;;;Cyril Squire;Cyril Squire;Fa;2x2 voix;© 1974 Cyril Squire;2 Chroniques 7.14;Repentance;;1
JEM024;La joie du Seigneur;;The joy of the Lord;Inconnu;Inconnu;Ré;1 voix;© 1972 Ligue pour la lecture de la Bible;Néhémie 8.10;Joie et célébration;;1
JEM025;Confie-toi en l'Eternel;Reconnais-le dans toutes tes voies;;Pierre van Woerden;Pierre van Woerden;Fa;1 voix;© 1976 Gerth Medien Musikverlag;Proverbes 3.5-8;Exhortation;;1
JEM026;Car un enfant nous est né;;For unto us a child is born;Inconnu;Inconnu;Do;2x2 voix;© 1974 Adaptation française Linda Panci-McGowen;Esaïe 9.5;Jésus-Christ;;1
JEM027;Ne crains rien, car je suis avec toi;Je te fortifie, je viens à ton secours;;John van den Hogen;John van den Hogen;Sol;1 voix;© 1971 John van den Hogen;Esaïe 41.10;Exhortation;;1
JEM028;Quand les montagnes s'éloigneraient;Mon amour, oui mon amour;;John van den Hogen;John van den Hogen;Ré;1x2 voix;© 1971 John van den Hogen;Esaïe 54.10;Adoration;;1
JEM029;Invoque-moi et je te répondrai;;Call unto me;Inconnu;Inconnu;La;1 voix;© 1974 Adaptation française Jeunesse en Mission;Jérémie 33.3;Exhortation;;1
JEM030;Invoque-moi et je te répondrai;;;Pierre van Woerden;Pierre van Woerden;Sol;1 voix;© 1976 Gerth Medien Musikverlag;Jérémie 33.3;Exhortation;;1
JEM031;Notre Dieu est capable de nous délivrer;;;Pierre van Woerden;Pierre van Woerden;Sol;1 voix;© 1976 Gerth Medien Musikverlag;Daniel 3.17;Combat spirituel;;1
JEM032;On t'a fait connaître, ô homme, ce qui est bien;;;Paulette Devenoges;Paulette Devenoges;Mim;1 voix;© 1974 Paulette Devenoges;Michée 6.8;Repentance;;1
JEM033;L'Eternel ton Dieu est au milieu de toi;;;Linda McGowen;Linda McGowen;Sim;1 voix;© 1974 Linda Panci-McGowen;Sophonie 3.17,14;Joie et célébration;;1
JEM034;Non par puissance, non par force;;;Pierre van Woerden;Pierre van Woerden;Rém;1 voix;© 1976 Gerth Medien Musikverlag;Zacharie 4.6;Exhortation;;1
JEM035;Cherchez d'abord le royaume de Dieu;;Seek ye first the Kingdom;Karen Lafferty;Karen Lafferty;Ré;2x1 voix;© 1972 Maranatha Praise/Song Solutions CopyCare/LTC;"Matthieu 6.33; 4.4";Exhortation;;1
JEM036;Ne crains pas, crois seulement;;;Pierre van Woerden;Pierre van Woerden;Ré;1 voix;© 1976 Gerth Medien Musikverlag;"Marc 9.23; 5.36";Exhortation;;1
JEM037;Mon âme exalte le Seigneur;;;Linda McGowen;Linda McGowen;Fa;1x3 voix;© 1974 Linda Panci-McGowen;Luc 1.46-50;Adoration;;1
JEM038;Gloire à Dieu au plus haut des cieux;;;Pierre van Woerden;Pierre van Woerden;Ré;1x2 voix;© 1976 Gerth Medien Musikverlag;Luc 2.14;Dieu;;1
JEM039;Car Dieu a tant aimé le monde;;;Hermine Jacot;Hermine Jacot;Mim;1 voix;© 1974 Hermine Jacot;Jean 3.16;Appel;;1
JEM040;Je vous donne un commandement;;A new commandment;Inconnu;Inconnu;Ré;1 voix;© 1974 Adaptation française Jeunesse en Mission;Jean 13.34-35;Exhortation;;1
JEM041;Demeurez en moi;Je suis le vrai cep;;Linda McGowen;Linda McGowen;Do;1 voix;© 1974 Linda Panci-McGowen;Jean 15.4,1,7,8;Exhortation;;1
JEM042;Je n'ai ni argent ni or;;Silver and gold;Inconnu;Inconnu;La;1 voix;© 1974 Adaptation française Jeunesse en Mission;Actes 3.6-8;Jésus-Christ;;1
JEM043;Toutes choses concourent au bien;;;Pierre van Woerden;Pierre van Woerden;Sol;1 voix;© 1976 Gerth Medien Musikverlag;Romains 8.28;Foi et confiance;;1
JEM044;Il y a un seul corps;;;Pierre van Woerden;Pierre van Woerden;Do;1 voix;© 1976 Gerth Medien Musikverlag;Ephésiens 4.4-6;Unité;;1
JEM045;Jésus-Christ est Seigneur;;He is Lord;Inconnu;Inconnu;Sol;1 voix;© 1974 Adaptation française Jeunesse en Mission;Philippiens 2.10,11;Combat spirituel;ATG086;1
JEM046;Réjouissez-vous toujours;;;Pierre van Woerden;Pierre van Woerden;Ré;1 voix;© 1976 Gerth Medien Musikverlag;Philippiens 4.4;Joie et célébration;;1
JEM047;Que votre douceur soit connue;;;Christiane Maire;Christiane Maire;Mi;1 voix;© 1974 Christiane Maire-Laframboise;Philippiens 4.5;Exhortation;;1
JEM048;Mon Dieu pourvoira à tous vos besoins;;;Heinz Suter;Heinz Suter;Sol;1 voix;© 1974 Heinz Suter;Philippiens 4.19;Foi et confiance;;1
JEM049;Il a dépouillé les dominations;;;"Daniel Schaerer ; M. Meyer";"Daniel Schaerer ; M. Meyer";Mim;1 voix;© 1974 Daniel Schaerer et M. Meyer;Colossiens 2.15;Combat spirituel;;1
JEM050;Que la parole de Christ;;;Pierre van Woerden;Pierre van Woerden;Do;1 voix;© 1976 Gerth Medien Musikverlag;Colossiens 3.16;Exhortation;;1
JEM051;Ce n'est pas un esprit de timidité;;;John van den Hogen;John van den Hogen;Do;1 voix;© 1966 John van den Hogen;2 Timothée 1.7;Exhortation;;1
JEM052;Jésus-Christ est le même;;;Alain Stamp;Alain Stamp;Sol;1 voix;© 1969 Alain Stamp;Hébreux 13.8;Jésus-Christ;;1
JEM053;L'herbe sèche et sa fleur tombe;;;Patrick Meyer;Patrick Meyer;Ré;1 voix;© 1974 Patrick Meyer;1 Pierre 1.24-25;Dieu;;1
JEM054;Déchargez-vous sur lui;;;Heinz Suter;Heinz Suter;Mi;1 voix;© 1974 Heinz Suter;1 Pierre 5.7;Exhortation;;1
JEM055;L'amour de Dieu a été manifesté;;The love of God / 1 Jean 4,9;Linda McGowen;Linda McGowen;La;1 voix;© 1974 Linda Panci-McGowen;1 Pierre 5.7;Appel;;1
JEM056;Nous savons que le Fils de Dieu est venu;;;Linda McGowen;Linda McGowen;Do;1 voix;© 1974 Linda Panci-McGowen;1 Jean 5.20;Jésus-Christ;;1
JEM057;À celui qui nous aime;;;John van den Hogen;John van den Hogen;Fa;1 voix;© 1966 John van den Hogen;Apocalypse 1.5,6;Adoration;ATG085;1
JEM058;Tu es Seigneur;;Thou art worthy;Pauline Mills;Pauline Mills;La;1 voix;© 1963 Harry Foy Music/Small Stone Media/LTC;Apocalypse 4.11;Adoration;;1
JEM059;Alléluia, rendons gloire à Dieu;;Hallelujah, for the Lord;Dale Garratt;Dale Garratt;Fa;1 voix;© 1972 Scripture in Song/Maranatha Praise/Song Solutions CopyCare/LTC;Apocalypse 19.6;Joie et célébration;;1
JEM060;Grand Dieu, nous te bénissons;;Sun of my soul, Thou Savior Dear ;Peter Ritter;Henri-Louis Empeytaz;Sol;2x2 voix;© Domaine public;;Adoration;AF034;1
JEM061;Bénissons Dieu;;Lobe den Herren, den mächtigen König der Ehren;Recueil de Stralsund;Joachim Neander;Sol;2x2 voix;© Domaine public;;Louange;AF529;1
JEM062;Entonnons l'hymne de victoire;;;Georg Friedrich Haendel;F.-G. Clottu;Sol;2x2 voix;© Domaine public;;Combat spirituel;;1
JEM063;Toi qui disposes;;Crusader's Hymn;Air silésien;Blanche Sautter;Fa;2x2 voix;© Domaine public;;Foi et confiance;AF052;1
JEM064;Louez l'Eternel;Alléluia ! Louez l'Éternel;;K. Schulz;K. Schulz;Sib;2x2 voix + flûte;© K.F. Schultz ;;Louange;;1
JEM065;Les cieux et la terre;;O Worship the King all glorious above;Wolfgang Amadeus Mozart;Edmond Louis Budry;Sol;2x2 voix;© Domaine public;;Louange;AF037;1
JEM066;Dieu tout-puissant;De tout mon être alors s'élève un chant;How great Thou art;Mélodie russe;Hector Arnera;Sib;1+2x2 voix + flûte;© 1953 Stuart K. Hine/Kingswaysongs/LTC;;Adoration;;1
JEM067;Gloire à Dieu;Gloire à Dieu, notre Créateur;Praise to the Lord;Melchior Vulpius;Chants évangéliques;Ré;2x2 voix;© Domaine public;;Louange;;1
